t;x;x_p;x_pp;y;y_p;y_pp;z;z_p;z_pp;F_x;F_y;F_z
0;0;0;0;0;0;0;-4,9050000000000006e-08;-0,000981;-9,81;0;0;-0,9810000000000001
0,0001;0;0;0;0;0;0;-1,9614847297500002e-07;-0,0019609694595000005;-9,799694595000004;0;0;-0,9799694595000001
0,0002;0;0;0;0;0;0;-4,4119236995413985e-07;-0,0029399084800827958;-9,789390205827953;0;0;-0,9789390205827954
0,00030000000000000003;0;0;0;0;0;0;-7,8407865217103e-07;-0,003917817164255009;-9,779086841722137;0;0;-0,9779086841722137
0,0004;0;0;0;0;0;0;-1,2247042911560814e-06;-0,00489469561544602;-9,768784511910104;0;0;-0,9768784511910106
0,0005;0;0;0;0;0;0;-1,7629662688287268e-06;-0,00587054393800689;-9,7584832256087;0;0;-0,9758483225608702
0,0006000000000000001;0;0;0;0;0;0;-2,3987615775895363e-06;-0,0068453622372092945;-9,748182992024047;0;0;-0,9748182992024046
0,0007000000000000001;0;0;0;0;0;0;-3,1319872204122235e-06;-0,00781915061924445;-9,737883820351549;0;0;-0,9737883820351544
0,0008000000000000001;0;0;0;0;0;0;-3,9625402109355485e-06;-0,008791909191222039;-9,727585719775892;0;0;-0,9727585719775893
0,0009000000000000002;0;0;0;0;0;0;-4,890317573555108e-06;-0,009763638061169146;-9,717288699471071;0;0;-0,9717288699471076
0,0010000000000000002;0;0;0;0;0;0;-5,915216343515024e-06;-0,010734337338029183;-9,706992768600369;0;0;-0,9706992768600369
0,0011000000000000003;0;0;0;0;0;0;-7,037133566999524e-06;-0,011704007131660817;-9,696697936316337;0;0;-0,9696697936316343
0,0012000000000000003;0;0;0;0;0;0;-8,25596630122441e-06;-0,012672647552836903;-9,686404211760868;0;0;-0,9686404211760862
0,0013000000000000004;0;0;0;0;0;0;-9,571611614528426e-06;-0,013640258713243413;-9,676111604065094;0;0;-0,9676111604065091
0,0014000000000000004;0;0;0;0;0;0;-1,0983966586464514e-05;-0,014606840725478363;-9,665820122349496;0;0;-0,9665820122349492
0,0015000000000000005;0;0;0;0;0;0;-1,2492928307890969e-05;-0,015572393703050746;-9,655529775723839;0;0;-0,9655529775723831
0,0016000000000000005;0;0;0;0;0;0;-1,409839388106248e-05;-0,016536917760379466;-9,645240573287195;0;0;-0,9645240573287178
0,0017000000000000006;0;0;0;0;0;0;-1,5800260419721067e-05;-0,017500413012792256;-9,634952524127902;0;0;-0,963495252412791
0,0018000000000000006;0;0;0;0;0;0;-1,759842504918691e-05;-0,018462879576524628;-9,62466563732372;0;0;-0,962466563732371
0,0019000000000000006;0;0;0;0;0;0;-1,9492784906449083e-05;-0,019424317568718784;-9,614379921941557;0;0;-0,9614379921941573
0,0020000000000000005;0;0;0;0;0;0;-2,148323714025615e-05;-0,020384727107422566;-9,604095387037818;0;0;-0,9604095387037809
0,0021000000000000003;0;0;0;0;0;0;-2,3569678911206696e-05;-0,02134410831158837;-9,593812041658044;0;0;-0,9593812041658039
0,0022;0;0;0;0;0;0;-2,575200739183972e-05;-0,02230246130107209;-9,583529894837197;0;0;-0,9583529894837203
0,0023;0;0;0;0;0;0;-2,8030119766724927e-05;-0,023259786196632045;-9,57324895559955;0;0;-0,9573248955599559
0,0024;0;0;0;0;0;0;-3,0403913232552924e-05;-0,024216083119927914;-9,562969232958691;0;0;-0,9562969232958692
0,0024999999999999996;0;0;0;0;0;0;-3,2873284998225305e-05;-0,025171352193519663;-9,552690735917489;0;0;-0,9552690735917502
0,0025999999999999994;0;0;0;0;0;0;-3,543813228494461e-05;-0,026125593540866486;-9,54241347346823;0;0;-0,9542413473468222
0,0026999999999999993;0;0;0;0;0;0;-3,809835232630422e-05;-0,027078807286325727;-9,532137454592409;0;0;-0,9532137454592408
0,002799999999999999;0;0;0;0;0;0;-4,08538423683781e-05;-0,02803099355515182;-9,52186268826094;0;0;-0,9521862688260951
0,002899999999999999;0;0;0;0;0;0;-4,370449966981045e-05;-0,028982152473495226;-9,511589183434053;0;0;-0,9511589183434068
0,0029999999999999988;0;0;0;0;0;0;-4,665022150190528e-05;-0,02993228416840136;-9,501316949061325;0;0;-0,950131694906132
0,0030999999999999986;0;0;0;0;0;0;-4,969090514871583e-05;-0,03088138876780952;-9,491045994081611;0;0;-0,9491045994081596
0,0031999999999999984;0;0;0;0;0;0;-5,2826447907133894e-05;-0,031829466400551835;-9,480776327423154;0;0;-0,9480776327423129
0,0032999999999999982;0;0;0;0;0;0;-5,605674708697909e-05;-0,03277651719635218;-9,47050795800347;0;0;-0,9470507958003492
0,003399999999999998;0;0;0;0;0;0;-5,938170001108796e-05;-0,03372254128582514;-9,460240894729605;0;0;-0,9460240894729606
